Dim1,Dim2,Word
-30.095308,59.680077,she
15.940742,69.62447,Processors
-5.4486833,72.21431,fail
-39.505375,35.793705,meet
-52.938236,26.838133,kangaroo
-20.71676,69.231064,meat
-4.4902887,68.82593,demand
-18.501158,65.061424,International
-54.73566,21.830744,putting
-46.215534,27.128027,pressure
14.823947,69.35565,processors
-44.66987,36.769146,Despite
-50.470043,5.566535,high
-42.871174,47.471092,harvesting
-8.260969,72.8679,quotas
-42.5389,45.061794,met
-8.467186,71.71182,leaving
-6.06629,66.825226,gap
16.900564,66.347565,Phil
-45.67563,72.1801,King
-11.280145,72.02311,Perth
-12.389224,73.837326,Europeans
-52.849407,17.96894,attracted
-40.948967,38.692085,low
-21.35109,71.311485,fat
-3.6903806,71.33052,content
5.4552455,71.31377,consuming
13.220572,55.524998,large
-53.7351,26.140875,amounts
-39.055805,67.119965,As
3.3431878,70.32455,far
-55.67052,19.771502,know
-27.320784,62.108437,every
4.8186126,70.59186,manufactured
-16.182684,69.23047,produced
-48.219307,13.292427,human
-43.17094,43.942074,consumption
-10.707391,73.71444,goes
-12.822344,70.55315,Russian
-48.586887,28.835161,People
17.141483,68.692314,warned
-55.860123,12.974734,snake
15.095716,64.21823,alert
-0.34533122,67.10025,With
16.10953,58.481983,temperatures
-44.46463,71.61182,soaring
-5.5203137,70.866,summer
-37.082027,44.557575,southern
-8.588953,69.4565,snakes
-16.410807,68.15814,move
9.305006,69.916534,keep
14.222256,64.91417,open
-12.578898,73.12661,paddock
-35.556576,38.197296,especially
-49.022823,14.122681,areas
-25.261421,62.016052,hit
20.125574,54.565296,forced
-51.53195,18.593994,usual
-39.519596,63.65986,habitat
-31.224663,60.637035,Maria
-32.400463,61.15177,these
-14.7020035,76.23289,words
-39.9542,49.13225,advice
-52.915165,20.05064,Any
-56.50067,14.046584,who
17.361002,52.539703,regularly
-14.5414715,76.74979,bush
-22.13272,68.363205,walking
-47.333763,20.945179,land
-10.914998,73.165184,working
-24.742762,58.528023,always
-43.153656,42.368114,carry
-27.442505,70.908356,least
-41.979874,33.058155,mobile
-50.661976,14.302369,phone
-23.585285,64.00209,Aerial
11.00842,64.67208,spraying
17.143423,67.75853,begins
-36.71178,56.23871,control
-43.693523,26.989729,locust
-28.34957,59.15536,threat
-36.103806,54.58073,country
1.7610114,69.01746,begun
17.36904,56.87839,aerial
-51.32203,17.577147,locusts
17.495182,65.518845,plagues
-0.08646515,70.24636,made
16.267557,67.28307,continued
-39.48451,65.935196,rain
-4.144145,71.67556,warm
4.7237153,70.14007,weather
-28.612564,57.34047,assisting
-34.651237,61.431927,breeding
-17.587675,55.080536,conditions
-15.051293,60.03976,crops
1.3976663,66.09599,wiped
-8.221905,71.172325,pest
-37.14342,43.28438,won
-3.9513476,67.34935,runner
-16.735935,67.19456,Queensland
-13.6081,64.7,farmer
-37.80207,66.039406,knee
-54.390522,21.738945,injury
-15.010735,76.61895,him
-38.99241,44.544876,running
12.933855,62.863842,Queen
-45.548317,41.816933,lead
-55.935764,13.946582,Commonwealth
-16.865,69.21008,Games
-33.305134,46.235275,Stanthorpe
-21.035776,69.60751,Bill
-50.662674,26.813702,travelled
5.2997756,70.92013,Harbour
-44.82019,42.341812,run
-5.2496777,53.201332,his
